YEAR,MO,DA,HR,LAT,LON,CO201500,CO01500
2015,9,22,6,-1.2020,103.9020,0.1501E-06,0.7463E-07
2015,9,22,6,-1.1520,103.9020,0.1000E-06,0.3731E-07
2015,9,22,6,-1.1020,103.9020,0.1501E-06,0.1866E-07
2015,9,22,6,-2.0020,103.9520,0.8340E-07,0.6221E-07
2015,9,22,6,-1.9520,103.9520,0.2502E-06,0.1037E-07
2015,9,22,6,-1.8520,103.9520,0.0000E+00,0.2074E-07
2015,9,22,6,-1.8020,103.9520,0.2752E-05,0.3525E-06
2015,9,22,6,-1.7520,103.9520,0.0000E+00,0.1037E-07
2015,9,22,6,-1.6020,103.9520,0.0000E+00,0.2281E-07
2015,9,22,6,-1.5520,103.9520,0.3168E-06,0.1203E-06
2015,9,22,6,-1.5020,103.9520,0.1718E-05,0.4768E-06
2015,9,22,6,-1.4520,103.9520,0.3468E-05,0.4209E-06
2015,9,22,6,-1.4020,103.9520,0.2268E-05,0.3431E-06
